original_comment,comment,sentiment
"Paling paling di korupsi dan di simpan di bank lagi. Dengan bukti fiktif. Yang pada akhirnya duit tidak muter. Selama koruptor tidak di gantung ga bakalan makmur  Hapus MBG, ganti kuliah gratis❤❤❤❤❤",paling paling salur korupsi salur simpan salur bank bukti fiktif akhir duit tidak putar lama koruptor tidak salur gantung tidak bakal makmur hapus mbak ganti kuliah gratis,Negatif
Awas duitnya ditilap komisi XI dpr kek csr BI yg blm kelar ditangani kpk itu....,awas duit tilap komisi xi dpr csr bi belum kelar tangan kpk,Negatif
"Kementerian anggarannya juga di tahan, tdk dibelanjakan.😱",menteri anggar salur tahan tidak belanja,Negatif
"Jng d kucurkan ke bank semua pak menkeu ,kucurkan jg buat rakyar kecil yg g ngerti perkreditan n perbankan tp butuh jln yg bagus buat jual hasil tani dg mudah lancar yg selalu d kuasai tengkulak yg mencekik patani",jangan kucur bank semua pak menteri uang kucur buat rakyat kecil erti kredit perban butuh jalan bagus buat jual hasil tani moga lancar selalu kuasa tengkulak cekik tani,Negatif
"Kasihlah bunga Bank yg sangat rendah ke masyarakat ekonomi akan bergerak, kur masih tinggi lo, ada dana mati 2 kali angsuran gk bisa dicairkan",kasih bunga bank sangat rendah masyarakat ekonomi gerak kur tinggi lo dana mati kali angsur tidak cair,Negatif
Bagi ke rakyat saja masing masing  seratus juta biar ekonomi jln,rakyat masing masing ratus juta biar ekonomi jalan,Negatif
"Kita rakyat harus ikut memantau,jangan sampe menkeu di kelabui tikus2 berdasi. Niat beliau saya rasa sudah sangat baik.",rakyat ikut pantau jangan menteri uang salur kelabu tikus das niat beliau rasa sangat baik,Positif
"Semua itu ada efeknya, bahkan Diam, tidak Empati dll. Awas kejadian Nepal bisa terjadi di RI !!!!",semua efek bahkan diam tidak empati dulu awas jadi nepal jadi salur ri,Negatif
KTA Mandiri menjebak anak saya  sampai gali lobang tutup lobang. Sampai kena pinjol. Cipatakan lapangan kerja. Gimana mau kredit kalau ga kerja. Kredit Lunak jebakan batman bank,mandiri jebak anak gali lobang tutup lobang kena pinjam online cipatakan lapang kerja bagaimana mau kredit kalau tidak kerja kredit lunak jebak batman bank,Negatif
Jangan sampai uang yang dikucurkan oleh BI digunakan sebagian utk nyicil hutang bang,jangan uang kucur bi guna bagi cicil utang bang,Negatif
Suntik 200 balek 2M😂😂😂,suntik balek,Negatif
apakah ini mirip BLBI  ??,mirip blbi,Negatif
Bukannya nanti bos bos kaya yg menikmati. Wong Cilik dampaknya apa? Mau kredit aja ngak ada aset 😢,bukan bos bos nikmat orang cilik dampak apa mau kredit tidak aset,Negatif
"Cara model 200triliun akan sama dgn blbi dan centuri😂😂😂, harus di evaluasi agar tidak tarjadi seperti blbi dan centuri.",cara model triliun saling blbi century salur evaluasi tidak tarjadi blbi century,Negatif
Awas hati hati oknum pejabat suka korupsi mulai mata ijo sedang mencari mangsa gimna caranya untuk korupsi,awas hati hati oknum jabat suka korupsi mulai mata ijo sedang cari mangsa bagaimana cara korupsi,Negatif
"Harus dikontrol juga pihak bank nya pa, biar ga ngaco alur uang nya, yg udah udah juga banyak lari ke kolongmerat uang nya,coba perbanyak penyaluran dana ke para penggiat usaha kecil, biar usaha berkembang, kan klo usaha berkembang lapangan perkerjaan pun bertambah 👍👍 Sedikit mencontoh Pemerintahan cina, mereka mempermudah modal usaha buat yg punya ide usaha..",kontrol pihak bank nya apa biar tidak aco alur uang nya banyak lari konglomerat uang nya coba banyak salur dana giat usaha kecil biar usaha kembang kan kalau usaha kembang lapang kerja tambah sedikit contoh perintah china mudah modal usaha buat punya ide usaha,Negatif
"Suntik terus,,,, bank keluarin pinjaman itu pun kalau benar, blm lagi kredit macet,,,",suntik terus bank keluar pinjam kalau benarbenar belum kredit macet,Negatif
kridit usahanya jangan di persulit,kredit usaha jangan salur sulit,Negatif
Hati2 bisa terjadi kredit macet,hati jadi kredit macet,Negatif
200 T.jng sampai ada judul tidak ada isi.,tjng judul tidak isi,Negatif
"Bank disuntik, ekonomi disuntik, manusia disuntik - wow, kita ini seperti zombi zombi yang sdh meningg kan kenyataan. Apa sdh tepaf segala suntikan itu? Klu hanya itu yang dilakukan tanga otak sehat ya… mengchawatirkan.",bank suntik ekonomi suntik manusia suntik wow zombi zombi ning kan nyata apa tepat segala sunti kalau laku tanpa otak sehat nya khawatir,Negatif
Kalau ingin ekonomi meningkat berani naikan gaji guru ASN TNI POLRI,kalau ekonomi tingkat berani naik gaji guru asn tni polri,Negatif
"Tapi sebenarnya tumbuhnya ekonomi tidak bisa dilihat dari satu sisi saja. Jika simpul2 lain tidak dibuka tetap terjadi macet ekonomi. Seharusnya mengucurkan dana berdasarkan project dan bahan wajib produksi dalam negeri, apalagi dengan sistem blockchain akan lebih bagus. Seperti MBG seharusnya pelaksanaan diserahkan kepada komunitas wali murid langsung sehingga kualitas bisa langsung terkontrol dan tidak terjadi mark up serta usaha mikro bisa menggeliat.",benar tumbuh ekonomi tidak lihat satu sisi simpul tidak buka tetap jadi macet ekonomi kucur dana dasar proyek bahan wajib produksi negeri sistem blockchain lebih bagus mbak laksana serah komunitas wali murid langsung kualitas langsung kontrol tidak jadi mark up usaha mikro geliat,Negatif
"Bravo Menkeu Baru,mantul Josss",bravo menteri uang baru mantul jos,Positif
Percuma berteori kalau duit negara habis buat gaji DPR pemerintah 😂😂😂😂,percuma teori kalau duit negara habis buat gaji dpr perintah,Negatif
"selanjutnya perbankan kucurkan kredit ringan untuk umkm biar dana mengalir di level bawah menengah, jangan dialirkan ke para konglomerat",lanjut perban kucur kredit ringan umkm biar dana alir salur level bawah tengah jangan alir konglomerat,Negatif
"tolong dipahami, yg ada liquid dana sama pemerintah itu bank himbara, bank besar . bukan ke pinjol atau bank keliling .  tujuan agar UMKM menengah keatas bisa pinjam dan menaikkan produksi , menaikkan produksi butuh tenaga kerja otomatis lapangan pekerjaan kebuka . lapangan kerja kebuka masyarakat punya gaji otomatis bisa belanja ke umkm yg kecil ekonomi otimatis muter . berfikir secara ekonomi makro bukan mikro",paham liquid dana saling perintah bank himbara bank besar bukan pinjam online bank keliling tuju umkm tengah atas pinjam naik produksi naik produksi butuh tenaga kerja otomatis lapang kerja buka lapang kerja buka masyarakat punya gaji otomatis belanja umkm kecil ekonomi otimatis putar pikir ekonomi makro bukan mikro,Positif
Woy jngan fokus di  IHSG aja  Fokus di masyarakat biasa Soalnya daya beli berkurang   Ekonomi rakyat jalannya lambat,woy jangan fokus salur ihsg fokus salur masyarakat biasa soal daya beli kurang ekonomi rakyat jalan lambat,Negatif
"Fiskal itu urusan Menkeu, kalau moneter itu urusan BI. Saran utk mentri menkeu baru pahami tupoksi sesuai UU menkeu agar jangan sampai keliru, sayang kalau sampai keliru mengambil kebijakan.",fiskal urus menteri uang kalau moneter urus bi saran menteri menteri uang baru paham tupoksi sesuai lo menteri uang jangan keliru sayang kalau keliru ambil bijak,Negatif
"Jangan untuk money market mulu lah, real produksi , kuatkan industri lokal yang mudah diserap pasar internasional, kayak industri alutsista diperkuat market globalnya, komoditas,  di level masyarakat kurangi toko sembako  chains lah biar mengeliat UMKM non chain dll.",jangan money market mulu lah real produksi kuat industri lokal moga serap pasar internasional industri alutsista kuat market global komoditas salur level masyarakat kurang toko sembako chains lah biar liat umkm non chain dulu,Negatif
"Palingan juga uangnya dibawa kabur kaya century dulu lalu harga2 akan naik karena Inflasi, kalau mau makmur itu perbanyak hasil bumi jangan mainin uang bank itu keberatan gaji direksi, ada uang banyak mustahil mereka bakal amanah, berkaca kasus2 sebelumnya jangan ngarep Badan pemeriksa keuangan bakal ngawasi apalagi KPK meleng dikit senasib ma Antasari",paling uang bawa kabur century dulu lalu harga naik inflasi kalau mau makmur banyak hasil bumi jangan mainin uang bank berat gaji direksi uang banyak mustahil bakal amanah kaca kasus belum jangan harap badan periksa uang bakal ngawasi kpk meleng sedikit nasib saling antasari,Negatif
Duitna 200T dari mana??? Dr nenek lo? 😂,duitna mana nenek lo,Negatif
"Selama ini duitnya ditimbun,rakyat kecil menjerit",lama duit timbun rakyat kecil jerit,Negatif
"Semoga dengan di gelontor kannya 200 T oleh BI. Akan membuat ekonomi cerah lagi. Yang pasti bank akan menurunkan suku bunga agar pinjaman jadi masif. Saya kira sektor real akan bergerak naik dan UKM"" akan bergerak bergairah lagi. Sehingga pertumbuhan ekonomi on the track. Waktunya borong saham sekarang!!!! Selagi Murah. Cari saham saham bagus broooo....",moga salur gelontor kan bi buat ekonomi cerah bank turun suku bunga pinjam jadi masif kira sektor real gerak naik ukm gerak gairah tumbuh ekonomi on the track waktu borong saham sekarang murah cari saham saham bagus bro,Positif
"sebenarnya dari dulu masalah negara ini dalam sektor ekonomi terlalu memanjakan pengusaha besar lewat pinjaman lunak....kalo sudah usaha UMKM atau menengah ke bawah sulitnya minta ampun...cara kerja Bank juga sangat brengsek...mereka males mengurus memberikan kredit ke UMKM2....mending ngasih pinjaman 100M ke satu pengusaha besar dari pada minjemin 1000 pengusaha UMKM masing2 100 jt...atau 2000 usaha UMKM masing2 50 jt...padahal dalam piramida,sektor menegah ke bawah itu penopangnya...kalo ambruk,ya ambruk juga negara ini...",benar dulu masalah negara sektor ekonomi terlalu manja usaha besar lewat pinjam lunak kalau usaha umkm tengah bawah sulit minta ampun cara kerja bank sangat brengsek malas urus beri kredit umkm mending asih pinjam satu usaha besar minjemin usaha umkm masing juta usaha umkm masing juta padahal piramida sektor tengah bawah topang kalau ambruk nya ambruk negara,Negatif
"Ada pengawasan tdk, itu bakal ke umkm, jangan2 hanya ke oligarki2. Kalau kredit koperasi desa merah putih, siapkah, macet gak? 😂 ntar bancakan jg. Dana byk, tapi menteri2 sektor riil fungsi gak? Jk tdk ya ekonomi tetep macet.",awas tidak bakal umkm jangan oligarki kalau kredit koperasi desa merah putih siap macet tidak entar bancak dana banyak menteri sektor riil fungsi tidak tidak nya ekonomi tetap macet,Negatif
Ayo pak Prabowo bangkit kam pasukan petrus yg mengambil keuntungan sendiri culik hilangkan saja kelamaan uu perampasan aset,ayo pak prabowo bangkit kamu pasu petrus ambil untung sendiri culik hilang lama lo ampas aset,Negatif
"Rupanya Kasus BLBI ( Bantuan Likuiditas Bank Indonesia ) 1998 dan Bailout Bank Century 2008 yang telah dijadikan para bankir sebagai Uang Segar dimana seharusnya untuk membayari para nasabah penyimpan uang di bank tersebut telah dirampok habis""an oleh Bankir"" Jahat. Dan Menkeu Baru sepertinya akan mengulang lagi kasus serupa dalam bentuk memindahkan Uang Negara dari Bank Indonesia ke Bank"" Lain. Ini bukan modus menggerakkan ekonomi rill di masyarakat bilamana bunga pinjaman tidak menjadi turun secara signifikan, uang tidak terserap maksimal oleh UMKM dan Masyarakat tetapi hanya dinikmati oleh segelintir pengusaha dan konglomerat. Bersiaplah untuk Krisis Moneter 2025 karena Pejabat enggan belajar dari peristiwa masa lalu. Semoga Mahasiswa mencegahnya............🙏",rupa kasus blbi bantu likuiditas bank indonesia bailout bank century jadi bankir uang segar bayar nasabah simpan uang salur bank sebut rampok habis an bankir jahat menteri uang baru seperti ulang kasus rupa bentuk pindah uang negara bank indonesia bank bukan modus gerak ekonomi ril salur masyarakat bilamana bunga pinjam tidak jadi turun signifikan uang tidak serap maksimal umkm masyarakat nikmat gelintir usaha konglomerat siap krisis moneter jabat enggan ajar peristiwa masa lalu moga mahasiswa cegah,Negatif
Uang darimana itu 200... Katanya defisit harus utang untuk bayar bunga pinjaman..ini begitu jadi siap 200 ...gimana itu Bu Sri ...ditangan mu kesannya uang seret harus gali nambah penghasilan dari pajak..ini sim salabim keluar langsung 200,uang darimana kata defisit utang bayar bunga pinjam jadi siap bagaimana bu sri tang kamu kesan uang seret gali tambah hasil pajak sim salabim keluar langsung,Negatif
Sepintar pintarnya  menkeu kalau pemimpin nya hanya ngemukin partai  dan koalisinya ( balikin modal pilpres kemarin)  nngga mungkin.....!!!,pintar pintar menteri uang kalau pimpin nya ngemukin partai koalisi balikin modal pilpres kemarin nngga mungkin,Negatif
DUIT SIAPA ITU ? DUIT BRI ? DUIT MANDIRI ?   ,duit siapa duit bri duit mandiri,Negatif
"Cuman nilai blum tentu mengutugkan rakyat karna yang disuntik bank"" bukan rakyat indonesia.",cuma nilai belum mengutugkan rakyat suntik bank bukan rakyat indonesia,Negatif
"Bank2 Umum didorong menyalurkan tambahan Kredit 200 Trilyun, sedang Bank2 sendiri sebelum nya sudah kelebihan Dana, malah disimpan di BI ( SBI , Giro Wajib Minimum, malah beli SUN dll ). Penyaluran Kredit tidaklah mudah krn peluang menjadi Kredit Macet sangat besar. Liat aja Industri2 yg bertumbangan , al. kalah bersaing dg barang2 impor yg membanjiri Ind. PEM Pusat dan Daerah yg kurang peduli dg Petani, Peternak dll yg kecil kapasitas nya. di Boyolali, Peternak Susu yg dituduh melanggar Pajak shg harus tutup dll. Bank2 Umum bisa kelebihan Dana krn Banyak nya Korupsi dan Kredit Macet. Debitur tak bayar Kredit / macet, namun  duit nya disimpan di Bank Lain.",bank umum dorong salur tambah kredit triliun sedang bank sendiri nya lebih dana malah simpan salur bi sertifikat bank indonesia giro wajib minimum malah beli sun dulu salur kredit tidak moga peluang jadi kredit macet sangat besar lihat industri tumbang akibat kalah saing barang impor banjir industri pem pusat daerah kurang peduli tani ternak dulu kecil kapasitas nya salur boyolali ternak susu tuduh langgar pajak tutup dulu bank umum lebih dana banyak nya korupsi kredit macet debitur tak bayar kredit macet duit nya simpan salur bank,Negatif
"Turun kan bunga bank juga..biar rakyat dapat kredit tidak susah membayarnya. Habis semua BI Ceking, dan tutup pinjol.. Itu baru mantap. Kalo cuma kucurin dana dan tidak diikuti dengan kebijakan seperti diatas, saya rasa tidak optimal JD nya..",turun kan bunga bank biar rakyat dapat kredit tidak susah bayar habis semua bi checking tutup pinjam online baru mantap kalau cuma kucurin dana tidak ikut bijak di atas rasa tidak optimal jadi nya,Negatif
"Suntikan likuiditas sebesar 200 triliun ke sektor perbankan dengan harapan mendorong pertumbuhan ekonomi riil tampaknya belum akan memberikan dampak signifikan. Hal ini karena pendorong utama pertumbuhan bukan semata ketersediaan dana di bank, melainkan daya beli masyarakat. Selama konsumsi rumah tangga masih lemah, laju pertumbuhan ekonomi akan tetap terbatas. Dampak nyata baru akan dirasakan apabila pemerintah mulai melonggarkan kebijakan efisiensi anggaran—misalnya melalui peningkatan pengadaan barang dan jasa, penyelenggaraan kegiatan, serta percepatan pembangunan infrastruktur. Langkah tersebut akan menggerakkan berbagai sektor secara bersamaan, melibatkan lebih banyak masyarakat, serta menciptakan efek domino yang memperkuat daya beli. Pada akhirnya, kondisi ini akan menjadi motor penggerak bagi pertumbuhan ekonomi yang lebih kuat dan berkelanjutan.",sunti likuiditas besar triliun sektor perban harap dorong tumbuh ekonomi riil tampak belum beri dampak signifikan dorong utama tumbuh bukan semata sedia dana salur bank daya beli masyarakat lama konsumsi rumah tangga lemah laju tumbuh ekonomi tetap batas dampak nyata baru rasa apabila perintah mulai longgar bijak efisiensi anggaranmisalnya lalu tingkat ada barang jasa selenggara giat cepat bangun infrastruktur langkah sebut gerak bagai sektor sama libat lebih banyak masyarakat cipta efek domino kuat daya beli akhir kondisi jadi motor gerak tumbuh ekonomi lebih kuat lanjut,Negatif
"200T cuma untuk menggemukkan pengusaha2 yang udah kaya, harga kebutuhan pokok tetap tinggi walaupun stok banyak, uang beredar lebih banyak ya inflasi la pak, inflasi ujung2nya harga makin ngak terjangkau",cuma gemuk usaha harga butuh pokok tetap tinggi walaupun stok banyak uang edar lebih banyak nya inflasi lah pak inflasi ujung harga makin tidak jangkau,Negatif
Tetapi Banyak Media Channel Propaganda Provokator Busuk hati hati rakyat jangan terpancing,banyak media channel propaganda provokator busuk hati hati rakyat jangan pancing,Netral
"Pemerintah mulai cetak duit coy"" saat buy aset high risk, inflasi akan melambung tinggi pasti tahun depan",perintah mulai cetak duit coy buy aset high risk inflasi lambung tinggi tahun depan,Negatif
"Ekonomi era pak SBY  itu bagus,smoga pak Purbaya bs mencontoh nya.",ekonomi era pak surabaya bagus moga pak purbaya contoh nya,Netral
"Dana yg di geser itu dana cadangan yg disimpan di BI.            Jaman pa SBY dan pa Jkw nyari keluar , jd bisa cukup .             Ini dana kecil di pindah ke bank Umum . Tanggung ini.             Mengapa upaya ga ke yg lain ? Dana cadangan ditarik keluar. Menkeu lama jg diem.",dana salur geser dana cadang simpan salur bi zaman apa surabaya apa jkw cari keluar jadi cukup dana kecil salur pindah bank umum tanggung upaya tidak dana cadang tarik keluar menteri uang lama diam,Negatif
Uwang ribuan Trilyun ada di tangan parab korutor Kalau 900 koruptor kakap masing2 punya 2 Trilyun = 1.800 Trilyun Koq gitu aja repot,uwang ribu triliun salur tangan parab korutor kalau koruptor kakap masing punya triliun triliun kok repot,Negatif
Adanya pinjol karna. Peredaran uang seret keringg. Paham kaga lu ternak ternak srimul,ada pinjam online edar uang seret kering paham lo ternak ternak srimul,Netral
Ternyata fitnah srimul Demi 200triliun ngucur buat kasih pinjaman para komprador bohir parpol 😂😂😂,nyata fitnah srimul triliun ngucur buat beri pinjam komprador bos parpol,Negatif
Investor ritel was_was dgn mentri yg baru jika 3 bln dimen tdk bergerak maka akan terjadi inflasi  Bank tdk bisa kembalikan danah ke kas negara maka mau tdk mau suku bunga bank akan dinaikan kalau tdk bank rugi besar itu dampaknya kenapa mentri keuangan seblmnya selaku Hati_hati dgn kas negara karena byk resiko yg akan terjadi lebih besar akibatnya negara tambah utang untuk tutupi kas negara yg sdh disalurkan OMG,investor ritel waswas menteri baru bulan dimen tidak gerak jadi inflasi bank tidak kembali danah kas negara mau tidak mau suku bunga bank naik kalau tidak bank rugi besar dampak menteri uang seblmnya selaku hatihati kas negara banyak risiko jadi lebih besar akibat negara tambah utang tutup kas negara salur omg,Negatif
"Tetap yg menikmati para nasabah besar...giliran nasabah kecil... Bank : BI cheking kurang bagus,produk kurang bagus, rekening koran TDK tercermin ,izin usaha kurang lengkap ....mhn maaf di TOLAK.... hahaha",tetap nikmat nasabah besar nasabah kecil bank bi checking kurang bagus produk kurang bagus rekening koran tidak cermin izin usaha kurang lengkap mhn maaf salur tolak hahaha,Negatif
"Hati2, daya beli masyarakat sedang tidak ada, orang mau buka usaha juga berat, apalagi harus melawan harga barang dari cina yg sangat murah..",hati daya beli masyarakat sedang tidak orang mau buka usaha berat lawan harga barang china sangat murah,Negatif
"Problemnya bukan hanya ketersediaan modal bagi para pengusaha.. tersedia modal besar tapi gak berani dieksekusi oleh pengusaha juga problem besar tuh.. sangat sedikit jumlah pengusaha yang berani menjalankan usahanya ditengah ketidakpastian ekonomi, stabilitas keamanan, kepastian birokrasi, stabilitas politik, dll.. kecuali pengusaha nekat yg berani gambilng 50:50... 200T cuma diplototin doang, gak ada yg berani pinjam untuk usaha di sektor riil... kecuali jika niatnya mau bobol duit bank doang...  hanya masuk dalam perangkap komunitas ""Seniman NPL"" (Non-Performing Loan) ",problem bukan sedia modal usaha sedia modal besar tidak berani eksekusi usaha problem besar sangat sedikit jumlah usaha berani jalan usaha tengah ketidakpastian ekonomi stabilitas aman pasti birokrasi stabilitas politik dulu usaha nekat berani gambilng cuma diplototin doang tidak berani pinjam usaha salur sektor riil niat mau bobol duit bank doang masuk perangkap komunitas seniman npl nonperforming loan,Negatif
"Habiskan sekalian Cas negara 😅😂 kalau habis tingal cari utang 😅😂 Orang bank banyak juga yg korupsi 😅😂 ingat BUMN katanya selalu merugi contoh Pertamina, PLN dan masih banyak BUMN yg bilang rugi terus",habis sekali kas negara kalau habis tinggal cari utang orang bank banyak korupsi ingat bumn kata selalu rugi contoh pertamina pln banyak bumn bilang rugi terus,Negatif
"sebagai orang yang paham bursa, berharap pak menteri menghilangkan uma fca suspend, di negara lain gak ada, Ini yg bikin foreign males ke ihsg.",orang paham bursa harap pak menteri hilang uma fca suspend salur negara tidak bikin foreign malas ihsg,Netral
Musuh pak purbaya.pasti para DPR... DPR pasti mencari kesalahan pak Purbaya ..s,musuh pak purbayapasti dpr dpr cari salah pak purbaya,Netral
"Jangan senang dulu, ingat org Indo suka ngemplang hutang, yg nagih malah dibunuh/diracun, belum lagi byk kredit fiktif dari oknum2 internal perbankan.",jangan senang dulu ingat orang indonesia suka ngemplang utang nagih malah dibunuhdiracun belum banyak kredit fiktif oknum internal perban,Negatif
QE ini nama nya…bakal inflasi rupiah anjlok…yang harus di fix itu core problem nya negara indonesia yaitu ga ada good education sama kurang industri padat karya. Mau main injection ga berguna karena duit nya nanti juga mengalir ke pihak2 tertentu doank. Kalangan bawah ga bakal dapat apa2. Malah kelas bawah kena dampak inflasi,qe nama nya bakal inflasi rupiah anjlok salur fix core problem nya negara indonesia tidak good education saling kurang industri padat karya mau main injection tidak guna duit nya alir pihak tentu doang kalang bawah tidak bakal dapat apa malah kelas bawah kena dampak inflasi,Negatif
"Utk ""mengerek"" IHSG. Entar kalo IHSG merah dan jeblok lagi, guyur lagi pake duit 500T ke HIMBARA.  Yang enak para Bankir dan debitur raksasa, tinggal SEROK aja ya kan?! Sektor real apalagi UMKM2? biarin aja jalan semampunya, kalo udah semaput suntik mati aja sekalian...😂😂😂",kerek ihsg entar kalau ihsg merah jeblok kucur pakai duit himbara enak bankir debitur raksasa tinggal serok nya kan sektor real umkm biar jalan mampu kalau semaput suntik mati sekali,Negatif
Maaf ya saya ingin bertanya sebagai rakyat awam ( yg tidak bermain saham)... kebijakan menteri Purbaya ini dampak apa yg bisa dirasakan oleh kesejahteraan rakyat banyak ??  Kalau tidak salah tangkap Bapak Presiden selalu mengatakan bahwa kesejahteraan rakyat itu yg utama ...,maaf nya tanya rakyat awam tidak main saham bijak menteri purbaya dampak apa rasa sejahtera rakyat banyak kalau tidak salah tangkap bapak presiden selalu kata sejahtera rakyat utama,Netral
",Assalamualaikum. saya jual Rumah dgn HARGA Tanah kosong saja.. luas tanah 700m dan luas bangunan 500mpersegi  sangat cocok untuk segala macam tempat usaha.dan Rumah pribadi,Lokasi di jln kedung baruk no 140.Sby timur..persis Di depan indomart Rumah ini.nol jln raya saya jual cuman dengan harga tanah kosong saja.Surat SHM ready..ada 14 kamar kos..penuh penghuninya..milik sendiri..semoga yg membeli rumahku senantiasa diberikan rejeki yg melimpah dan sejahtera selalu,Amin ..",assalamualaikum jual rumah harga tanah kosong luas tanah luas bangun mpersegi sangat cocok segala macam tempat usahadan rumah pribadi lokasi salur jalan kedung baruk no surabaya timur persis salur depan indomart rumah ininol jalan raya jual cuma harga tanah kosong sajasurat shm ready kamar kos penuh hun milik sendiri moga beli rumah senantiasa beri rejeki limpah sejahtera selalu amin,Netral
"Sebenarnya strategi Menkeu baru ini sederhana banget..  Kucurkan dana ke pasar, biar sektor ekonomi bergerak sendiri..  Tapi anehnya kenapa Menkeu lama tidak mengambil langkah2 strategis ini..  Enggak mungkin dong sekelas SMI tdk paham hukum moneter dasar sederhana seperti ini..  Pertanyaan nya kira2 apa maksud SMI mengambil kebijakan kebalikan..??  Kira2 opo lurr jawabanne..",benar strategi menteri uang baru sederhana banget kucur dana pasar biar sektor ekonomi gerak sendiri aneh menteri uang lama tidak ambil langkah strategis tidak mungkin dong kelas smi tidak paham hukum moneter dasar sederhana tanya nya kira apa maksud smi ambil bijak balik kira opo lur jawabanne,Positif
Rakyat GK butuh bansos yg kami butuh modal usaha permudah lah pinjaman bank dan jangan pakai jaminan karna banyak rakyat GK punya sertifikat buat di jaminkan mau usaha jadi GK bisa  Cukup dengan slick ojk saja liat apa kredit score nya bagus dan pernah pinjol GK. Logika nya kalo pernah pinjol dan selalu bayar tepat waktu dan GK ada tunggakan padahal bunganya besar apa lgi pinjaman bank pasti di balikin GK mungkin kredit macet. La ini malah slick ojk bagus gara gara pernah pinjol GK bisa ambil KUR,rakyat tidak butuh bansos butuh modal usaha mudah lah pinjam bank jangan pakai jamin banyak rakyat tidak punya sertifikat buat salur jamin mau usaha jadi tidak cukup slick ojk lihat apa kredit score nya bagus pernah pinjam online tidak logika nya kalau pernah pinjam online selalu bayar tepat waktu tidak tunggak padahal bunga besar apa pinjam bank salur balikin tidak mungkin kredit macet lah malah slick ojk bagus gara gara pernah pinjam online tidak ambil kur,Netral
"Dana 200t ke bank, tapi klo masyarakat mau kredit syaratnya di ubah jg jgn terlalu njelimet, biar UKM semakin tumbuh, market makin luas,penyerapan tenaga kerja jg bertambah,Bunga pun harus di tekan, sperti china. Pemerintah dukung sektor privat makanya jd negara maju.",dana bank kalau masyarakat mau kredit syarat salur ubah jangan terlalu njelimet biar ukm makin tumbuh market makin luas serap tenaga kerja tambah bunga salur tekan china perintah dukung sektor privat makanya jadi negara maju,Positif
Kredit kok stagnan di angka 7% hingga hari ini. Niat kerja atau nggak.,kredit kok stagnan salur angka hingga hari niat kerja tidak,Netral
josss dia Taruh 200 T itu mirip kita naroh di DEPOSITO ke Bank jadi ini strategi cerdas Dana Tersebut Selain dapet Bunga Dana tersebut bisa di manfaatkan oleh Rakyat untuk membuka USAHA dan Menggerakah Roda Ekonomi Indonesia Sukses Selalu P. Purbaya 🎉🎉,jos taruh mirip naroh salur deposito bank jadi strategi cerdas dana sebut dapat bunga dana sebut salur manfaat rakyat buka usaha gerak roda ekonomi indonesia sukses selalu purbaya,Positif
Daripada di masukin ke sistem perbankan mending di bagiin ke masyarakat...,salur pasuk sistem perban mending salur bagi masyarakat,Negatif
"Hati2 pak purbaya nanti uangnya dibawa kabur oleh bank2 . 😂 Seperti kasus2 bank century dll  Sri mulyani bukan tidak bisa melakukan hal tsb, cuma dia sudah trauma sejak kasus bank century.",hati pak purbaya uang bawa kabur bank kasus bank century dulu sri mulyani bukan tidak laku sebut cuma trauma sejak kasus bank century,Negatif
Nanya dooong.....  1. Apa bagusnya BI nyuntik 4 bank besar 200T padahal dana perbankan parkir di BI 800T?  2. Eksekusi 200T dari 4 bank ke masyarakat dalam bentuk apa? Pembiayaan kah? Ngak ngerti saya...,tanya dong apa bagus bi nyuntik bank besar padahal dana perban parkir salur bi eksekusi bank masyarakat bentuk apa biaya tidak erti,Netral
Investasi di Indonesia yg paling krusial di perbaiki adalah PUNGLI jd rasanya akan percuma suntikan sdh disebar di ekonomi mikro tetapi ekosistem bisnisnya diganggu oleh lsm/oknum/pejabat..,investasi salur indonesia paling krusial salur baik pungli jadi rasa percuma sunti sebar salur ekonomi mikro ekosistem bisnis ganggu lsmoknumpejabat,Negatif
apakah benar Sri mulyanto agen CIA..?,benarbenar sri mulyanto agen cia,Netral
Saya optimis sama Pak menteri ❤,optimis saling pak menteri,Positif
"Gokil nih menteri, top",gila menteri top,Positif
"gokil sih, dia diwawancara sambil hitung, ntah kenapa pencarian saya sekarang ini jadi beliau, semoga sesuai lah",gila sih wawancara hitung entah cari sekarang jadi beliau moga sesuai lah,Positif
"keren bpk ini sangat paham mesin ekonomi, Moneter itu urusan Bank Indonesia, ngatur uang dan bunga biar inflasi terkendali. Fiskal itu urusan pemerintah, ngatur pajak dan belanja negara buat pembangunan. Kalau digabung, dua-duanya kayak pedal mobil: moneter ngatur kecepatan uang beredar, fiskal ngatur arah pengeluaran. Harus seimbang biar ekonomi jalan mulus",keren bapak sangat paham mesin ekonomi moneter urus bank indonesia atur uang bunga biar inflasi kendali fiskal urus perintah atur pajak belanja negara buat bangun kalau gabung duaduanya pedal mobil moneter atur cepat uang edar fiskal atur arah keluar imbang biar ekonomi jalan mulus,Positif
Seperti nya optimis banget ekonomi Indonesia akan terbang tinggi di tangan Mentri baru kita ini,nya optimis banget ekonomi indonesia terbang tinggi salur tangan menteri baru,Positif
"Keren nie pak menkeu❤❤ semangat pak, sy orang yg memandang anda adalah orang CERDAS, ❤",keren pak menteri uang semangat pak orang pandang orang cerdas,Positif
